symbol,setup,status,open_date,close_date,entry,exit_day_close,realized_r,exact_exit,inferred_shares,inferred_planned_stop_price,inferred_planned_stop_atr,inferred_planned_stop_pct,grade,atr14_entry,atr_pct,entry_price_matches_fmp,available_sessions_after_exit,available_sessions_from_entry,post_20d_max_gain_from_entry,post_20d_max_gain_from_exit_close,post_20d_max_drawdown_from_exit_close,asof_market_date,asof_close,asof_gain_from_entry,asof_gain_from_exact_exit,max_gain_from_entry_through_asof,reached_2atr_after_exit,reached_5pct_after_exit,reached_10pct_after_exit,structure_stop_pct,hard_1atr_stopped_before_2atr,close_1atr_stopped_before_2atr,hard_1atr_20d_r,close_1atr_20d_r,hard_1.5atr_stopped_before_2atr,close_1.5atr_stopped_before_2atr,hard_1.5atr_20d_r,close_1.5atr_20d_r,hard_2atr_stopped_before_2atr,close_2atr_stopped_before_2atr,hard_2atr_20d_r,close_2atr_20d_r,hard_2.5atr_stopped_before_2atr,close_2.5atr_stopped_before_2atr,hard_2.5atr_20d_r,close_2.5atr_20d_r,hard_3atr_stopped_before_2atr,close_3atr_stopped_before_2atr,hard_3atr_20d_r,close_3atr_20d_r,structure_stopped_before_2atr,two_closes_below_sma20_before_2atr,entry_reclaim_date,entry_reclaim_price,entry_reclaim_gain_10d,entry_reclaim_drawdown_10d,entry_reclaim_success,entry_reclaim_forward_sessions,entry_reclaim_strength_date,entry_reclaim_strength_price,entry_reclaim_strength_gain_10d,entry_reclaim_strength_drawdown_10d,entry_reclaim_strength_success,entry_reclaim_strength_forward_sessions,sma10_reclaim_strength_date,sma10_reclaim_strength_price,sma10_reclaim_strength_gain_10d,sma10_reclaim_strength_drawdown_10d,sma10_reclaim_strength_success,sma10_reclaim_strength_forward_sessions,sma20_reclaim_date,sma20_reclaim_price,sma20_reclaim_gain_10d,sma20_reclaim_drawdown_10d,sma20_reclaim_success,sma20_reclaim_forward_sessions,sma20_reclaim_strength_date,sma20_reclaim_strength_price,sma20_reclaim_strength_gain_10d,sma20_reclaim_strength_drawdown_10d,sma20_reclaim_strength_success,sma20_reclaim_strength_forward_sessions,exit_low_undercut_reclaim_date,exit_low_undercut_reclaim_price,exit_low_undercut_reclaim_gain_10d,exit_low_undercut_reclaim_drawdown_10d,exit_low_undercut_reclaim_success,exit_low_undercut_reclaim_forward_sessions,exit_high_break_date,exit_high_break_price,exit_high_break_gain_10d,exit_high_break_drawdown_10d,exit_high_break_success,exit_high_break_forward_sessions,fresh_5d_high_date,fresh_5d_high_price,fresh_5d_high_gain_10d,fresh_5d_high_drawdown_10d,fresh_5d_high_success,fresh_5d_high_forward_sessions
LGIH,CANSLIM,BREAKEVEN,2026-08-05,2026-08-07,61.97,60.04,-0.011546,54.44,22.999999999999996,-590.2039130434783,200.31669114981784,-10.524026352161988,D,3.255714285714286,0.05253694183821665,True,1,3,-0.048894626432144594,-0.018321119253830842,-0.069620253164557,2026-08-10,56.7,-0.08504114894303694,0.04151359294636303,-0.048894626432144594,False,False,False,-0.13351506489315101,True,True,-1.0,-1.6186924089512942,True,True,-1.0,-1.0791282726341953,,,-0.8093462044756462,-0.8093462044756462,,,-0.6474769635805174,-0.6474769635805174,,,-0.5395641363170977,-0.5395641363170977,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0
RELY,CANSLIM,LOSS,2026-07-17,2026-07-22,24.84,23.11,-0.8837209302325582,23.32,150.00000000000003,23.12,1.7692872887582645,-0.06924315619967793,C,0.9721428571428579,0.03913618587531634,True,13,16,0.09299516908212557,0.1748160969277368,-0.034184335785374276,2026-08-10,23.14,-0.06843800322061189,-0.007718696397941649,0.09299516908212557,True,True,False,-0.07580659075224294,True,True,-1.0,-1.0080822924320332,True,True,-1.0,-1.1863825618417816,True,True,-1.0,-1.0132255694342382,True,False,-1.0,-0.699485672299779,False,False,-0.5829047269164827,-0.5829047269164827,True,True,2026-08-06,25.93,0.013497878904743521,-0.12263787119166991,False,2,2026-08-06,25.93,0.013497878904743521,-0.12263787119166991,False,2,2026-08-03,23.98,0.13219349457881568,-0.05129274395329442,True,5,2026-08-03,23.98,0.13219349457881568,-0.05129274395329442,True,5,2026-08-03,23.98,0.13219349457881568,-0.05129274395329442,True,5,2026-07-28,23.33,0.16373767681097307,-0.04243463351907406,False,9,2026-08-03,23.98,0.13219349457881568,-0.05129274395329442,True,5,2026-08-03,23.98,0.13219349457881568,-0.05129274395329442,True,5
S,CANSLIM,LOSS,2026-07-16,2026-07-17,19.95,19.57,-1.2716,19.07,289.00000000000034,19.25795847750865,0.6135896969524307,-0.0346887981198671,A+,1.127857142857143,0.056534192624418195,True,16,17,0.12481203007518804,0.14665304036791005,-0.1149718957588145,2026-08-10,22.23,0.11428571428571432,0.16570529627687458,0.12481203007518804,True,True,True,-0.15197815968492656,True,True,-1.0,-1.0107663077897417,True,True,-1.0,-1.022588135951024,True,True,-1.0,-1.139328689043698,False,False,0.808613046231793,0.808613046231793,False,False,0.6738442051931605,0.6738442051931605,False,True,2026-08-03,20.05,0.11920199501246875,-0.006483790523690747,True,5,2026-08-03,20.05,0.11920199501246875,-0.006483790523690747,True,5,2026-07-31,19.06,0.1773347324239245,0.00734522560335793,True,6,2026-07-29,18.52,0.21166306695464376,-0.03779697624190059,True,8,2026-07-29,18.52,0.21166306695464376,-0.03779697624190059,True,8,2026-07-20,19.46,0.035457348406988665,-0.10996916752312436,False,10,2026-08-03,20.05,0.11920199501246875,-0.006483790523690747,True,5,2026-07-31,19.06,0.1773347324239245,0.00734522560335793,True,6
LUV,CANSLIM,LOSS,2026-07-15,2026-07-17,49.179904761904766,48.08,-0.7559333333333333,48.1,209.99999999999957,47.751333333333335,0.8900756564307984,-0.029047868951507544,B,1.605,0.03263528076701866,True,16,18,0.011185366070926905,0.034317803660565804,-0.08090682196339438,2026-08-10,44.9,-0.08702547885411971,-0.06652806652806653,0.011185366070926905,False,False,False,-0.04902723528192887,True,True,-1.0,-2.7849873905948743,True,True,-1.0,-1.8566582603965802,True,True,-1.0,-1.392493695297434,True,True,-1.0,-1.1139949562379468,True,,-1.0,-0.8888691094298585,True,True,,,,,,0,,,,,,0,2026-08-03,47.07,0.05651157850010624,-0.04865094540046733,False,5,2026-08-04,48.7,0.02114989733059547,-0.08049281314168377,False,4,2026-08-04,48.7,0.02114989733059547,-0.08049281314168377,False,4,2026-07-22,47.66,0.04343264792278645,-0.07280738564834244,False,10,,,,,,0,2026-08-04,48.7,0.02114989733059547,-0.08049281314168377,False,4
SEDG,CANSLIM,LOSS,2026-07-15,2026-07-16,58.0,52.34,-0.6244000000000001,51.76,25.016025641025635,48.0064061499039,2.071824580206506,-0.17230334224303612,C,4.823571428571428,0.08316502463054187,True,17,18,-0.053793103448275814,0.04852884982804739,-0.40103171570500573,2026-08-10,32.21,-0.44465517241379304,-0.3777047913446676,-0.053793103448275814,False,False,False,-0.19751539408866992,True,True,-1.0,-1.1734044128535464,True,True,-1.0,-1.2977935732267147,True,True,-1.0,-1.0490152524803793,True,True,-1.0,-1.0664297349326228,True,True,-1.0,-1.064218372081544,True,True,,,,,,0,,,,,,0,2026-08-03,45.12,0.10017730496453914,-0.30518617021276584,False,5,2026-08-04,48.76,-0.14397046759639043,-0.35705496308449547,False,4,2026-08-04,48.76,-0.14397046759639043,-0.35705496308449547,False,4,2026-07-17,53.47,0.0024312698709556546,-0.28932111464372545,False,10,,,,,,0,2026-08-04,48.76,-0.14397046759639043,-0.35705496308449547,False,4
AFRM,CANSLIM,LOSS,2026-07-14,2026-07-17,84.44,76.07,-0.9643162393162392,79.43,45.03992015968072,79.24460890760027,1.3392648737543025,-0.06152760649454909,B,3.8792857142857136,0.045941327739053926,True,16,19,-0.04062055897678818,0.06494018667017243,-0.08479032470093317,2026-08-10,75.54,-0.10540028422548542,-0.04897393931763816,-0.04062055897678818,False,False,False,-0.07200167490018261,True,True,-1.0,-1.1857853065733734,True,True,-1.0,-1.4384091327563993,True,True,-1.0,-1.0788068495672993,True,True,-1.0,-1.0022463634689742,True,True,-1.0,-1.1368072178236055,True,True,,,,,,0,,,,,,0,2026-07-30,73.25,0.10593856655290113,-0.03931740614334467,True,7,2026-08-04,78.12,0.03699436763952901,-0.047235023041474644,,4,2026-08-04,78.12,0.03699436763952901,-0.047235023041474644,,4,2026-08-03,75.63,0.07113579267486458,-0.015866719555731712,,5,2026-08-04,78.12,0.03699436763952901,-0.047235023041474644,,4,2026-08-04,78.12,0.03699436763952901,-0.047235023041474644,,4
ANET,CANSLIM,LOSS,2026-07-14,2026-07-15,181.3,171.92,-1.0136099585062242,171.9,25.987234042553176,172.02621581791388,0.886292433266475,-0.051151595047358715,A+,10.463571428571427,0.057714128122291375,True,18,19,0.18527302813017088,0.24994183341088871,-0.08771521637971136,2026-08-10,191.52,0.0563706563706563,0.1141361256544502,0.18527302813017088,True,True,True,-0.11762764951540461,True,True,-1.0,-1.217557512458191,True,True,-1.0,-1.4864268323207503,True,True,-1.0,-1.1148201242405633,False,False,0.3906887842173528,0.3906887842173528,False,False,0.3255739868477938,0.3255739868477938,True,True,2026-08-03,184.89,0.1622586402725945,0.011466277245929968,True,5,2026-08-03,184.89,0.1622586402725945,0.011466277245929968,True,5,2026-07-23,176.61,0.21674876847290614,-0.11194156616273154,False,10,2026-07-21,174.58,0.11324321228090262,-0.10161530530415863,False,10,2026-07-21,174.58,0.11324321228090262,-0.10161530530415863,False,10,2026-07-17,168.61,0.08842891880671377,-0.06980606132495115,False,10,2026-08-04,190.51,0.1279722849194267,-0.018266757650516996,True,4,2026-07-31,180.35,0.19151649570280016,-0.038258940948156406,True,6
DELL,CANSLIM,WIN,2026-07-13,2026-07-14,440.02300000000014,457.54,0.5909467455621302,450.01,20.000000000000295,423.1230000000004,0.5482181750776136,-0.03840708326610142,A,30.827142857142857,0.07005802618759212,True,19,20,0.10380593741690736,0.06154653145080213,-0.21563142020369808,2026-08-10,457.88,0.04058196957886251,0.01748850025554982,0.10380593741690736,False,True,True,-0.12381122285490953,True,True,-1.0,-1.5779276148107,True,True,-1.0,-1.051951743207134,True,True,-1.0,-1.1415751424996547,True,,-1.0,0.23170489828073412,,,0.19308741523394501,0.19308741523394501,True,True,2026-07-22,441.8,0.09936622906292425,-0.18768673607967412,False,10,2026-07-22,441.8,0.09936622906292425,-0.18768673607967412,False,10,2026-07-22,441.8,0.09936622906292425,-0.18768673607967412,False,10,2026-07-22,441.8,0.09936622906292425,-0.18768673607967412,False,10,2026-07-22,441.8,0.09936622906292425,-0.18768673607967412,False,10,2026-07-22,441.8,0.09936622906292425,-0.18768673607967412,False,10,2026-08-04,467.27,0.03944186444667963,-0.10908040319301471,False,4,2026-08-04,467.27,0.03944186444667963,-0.10908040319301471,False,4
NTAP,CANSLIM,BREAKEVEN,2026-07-13,2026-07-14,166.25,174.55,0.02112,166.47,24.000000000000124,155.8333333333334,1.58981067626003,-0.0626566416040097,C,6.552142857142859,0.039411385606874336,True,19,20,0.21666165413533833,0.15880836436551138,-0.10478372959037541,2026-08-10,198.72,0.19530827067669176,0.1937285997477023,0.21666165413533833,True,True,True,-0.07674006444683135,True,True,-1.0,-1.0011991714815227,True,False,-1.0,3.3037537701224573,False,False,2.4778153275918466,2.4778153275918466,False,False,1.9822522620734755,1.9822522620734755,False,False,1.6518768850612287,1.6518768850612287,False,False,2026-07-22,166.54,0.17509307073375768,-0.019094511828989913,True,10,,,,,,0,2026-07-21,165.76,0.1806225868725868,-0.014478764478764394,True,10,2026-07-17,163.88,0.09720527215035402,-0.018733219428850312,True,10,2026-07-17,163.88,0.09720527215035402,-0.018733219428850312,True,10,2026-07-21,165.76,0.1806225868725868,-0.014478764478764394,True,10,2026-07-31,178.5,0.13316526610644264,-0.01389355742296916,True,6,2026-07-27,169.8,0.19122497055359244,-0.03604240282685511,True,10
DXCM,CANSLIM,LOSS,2026-07-10,2026-07-17,75.64064516129032,76.65,-0.3754601226993865,74.85,154.81028151774674,73.53484187223275,0.8527985550131914,-0.02783957334799723,B,2.4692857142857148,0.032644958395323026,True,16,21,0.16577535545832167,0.15042400521852572,-0.08949771689497721,2026-08-10,87.65,0.15876854055252765,0.17100868403473624,0.16577535545832167,True,True,True,-0.09410240452978613,True,True,-1.0,-1.1787397239821926,True,True,-1.0,-1.1368051732342943,True,True,-1.0,-1.044967200724101,False,False,1.4756258922989365,1.4756258922989365,False,False,1.2296882435824468,1.2296882435824468,False,True,2026-07-31,83.45,0.05668064709406839,-0.016297183942480475,,6,2026-07-31,83.45,0.05668064709406839,-0.016297183942480475,,6,2026-07-28,74.85,0.1780895123580497,-0.021509686038744147,True,9,2026-07-27,73.37,0.2018536186452229,-0.0017718413520513288,True,10,2026-07-27,73.37,0.2018536186452229,-0.0017718413520513288,True,10,,,,,,0,2026-07-31,83.45,0.05668064709406839,-0.016297183942480475,,6,2026-07-31,83.45,0.05668064709406839,-0.016297183942480475,,6
