image_id,source_image_path,filename,sha256,width,height,source_page,duplicate_of,setup_type,ticker,timeframe,base_quality,volume_notes,relative_strength_notes,buy_point_notes,failure_warnings,model_lesson,outcome_note,confidence,review_status
canslim-001,Chart Setups/Screenshot 2026-06-27 at 3.59.16 PM.png,Screenshot 2026-06-27 at 3.59.16 PM.png,9abbfd010de608cf81a032d4ccfd3b320686ac688999da7f8cb8b187415dac20,3644,2370,11,,cup with handle,Tennessee Coal & Iron,weekly,Shorter constructive cup-with-handle after earlier consolidation; handle formed near the pivot with tight price action.,Volume expanded on the breakout after a quieter base area.,,Buy marked as price clears the handle area and starts a sustained advance.,Avoid late entries after the move is extended far above the moving average.,A compact weekly cup-with-handle can launch a major move when the breakout comes with volume support.,Book chart notes a 265% advance in 39 weeks.,high,labeled_seed
canslim-002,Chart Setups/Screenshot 2026-06-27 at 3.59.23 PM.png,Screenshot 2026-06-27 at 3.59.23 PM.png,19c54406d705e293892fe289eba52c1d680a71cf4a8a028ccccdae463db6e577,3644,2370,12,,double bottom; cup with handle add-on,Northern Pacific,weekly,Long double-bottom structure followed by a later 10-week cup-with-handle add-on area.,Volume increased materially as the advance developed.,"Relative strength line was uptrending versus the Dow, showing outperformance.",Initial buy marked after the double-bottom breakout; add-on marked near the later 10-week cup-with-handle.,"Chart later shows a climax top, so strength required sell discipline after the advance became vertical.",Strong leaders can offer an initial base breakout and later add-on entries while relative strength confirms leadership.,Book chart notes an 1181% advance in 29 weeks.,high,labeled_seed
canslim-003,Chart Setups/Screenshot 2026-06-27 at 3.59.27 PM.png,Screenshot 2026-06-27 at 3.59.27 PM.png,6962f4525f97a6b00b91dc02243d2976a85f24a8dca409666dd35bc2576edb99,3644,2370,13,,long base; high tight flag,Bethlehem Steel,weekly,"Large multi-month base during a difficult market period, followed by a powerful advance and a later 6-week high tight flag.",Volume expanded during the breakout and early advance.,Relative strength line surged with price after the market correction ended.,First buy marked as price clears the long base; second buy marked on the first pullback to the 10-week moving average.,Later climax-top area is marked as a sell zone after a very steep run.,Major leaders can emerge from long bases after market corrections and may offer early 10-week pullback entries.,Book chart notes a 1479% advance in 99 weeks.,high,labeled_seed
canslim-004,Chart Setups/Screenshot 2026-06-27 at 3.59.44 PM.png,Screenshot 2026-06-27 at 3.59.44 PM.png,9ec314e866835f4479b8f0d0f6511f441c597f54ff4ac93bce4e2e341611125f,3644,2370,14,,long base; tight-price add-on,General Motors,weekly,"Nine-month base before the buy point, then a later short base with four tight weekly closes.",Big volume appeared at the buy point.,Relative strength improved sharply as the stock broke out and advanced.,Buy marked on breakout from the long base; add-on marked after the tight-price base.,Avoid chasing after the stock becomes extended from the moving average.,A long base with volume confirmation can start a major move; tight closes can create a controlled add-on point.,Book chart notes a 471% advance in 39 weeks.,high,labeled_seed
canslim-005,Chart Setups/Screenshot 2026-06-27 at 3.59.48 PM.png,Screenshot 2026-06-27 at 3.59.48 PM.png,7b87a15a0b5127983ca3d04fdbb36775b8b6bf6487aac86b0259cf1381c2b39c,3644,2370,14,canslim-004,duplicate,General Motors,weekly,Duplicate capture of canslim-004.,Duplicate capture of canslim-004.,Duplicate capture of canslim-004.,Duplicate capture of canslim-004.,Do not count as a separate model example.,Duplicate image retained for source traceability.,Duplicate of page 14 General Motors example.,high,duplicate
canslim-006,Chart Setups/Screenshot 2026-06-27 at 3.59.52 PM.png,Screenshot 2026-06-27 at 3.59.52 PM.png,51ff6228242b9b760c137cd60e90776126b894195d1743488693c84b3a712b05,3644,2370,15,,cup with handle; saucer with handle,S.S. Kresge,weekly,Early 14-week cup-with-handle followed by a longer 22-week saucer-with-handle as the stock stair-stepped higher.,Volume increased at key breakout areas and later rose again during the advance.,Relative strength line trended higher with the stock during the long advance.,Buy points are marked at the cup-with-handle breakout and later saucer-with-handle breakout; add-on noted near the 10-week line.,The chart notes selling into a prolonged move if price rises too far above its trend line.,Multiple constructive bases can appear during a long leader run; add-ons should be tied to proper bases or 10-week support.,Book chart notes an 836% advance in 154 weeks.,high,labeled_seed
canslim-007,Chart Setups/Screenshot 2026-06-27 at 3.59.57 PM.png,Screenshot 2026-06-27 at 3.59.57 PM.png,3c27c7d8ebb8066ddf67d654db2d564ad96bcae604ef2758fdf2befac58994c7,3644,2370,15,canslim-006,duplicate,S.S. Kresge,weekly,Duplicate capture of canslim-006.,Duplicate capture of canslim-006.,Duplicate capture of canslim-006.,Duplicate capture of canslim-006.,Do not count as a separate model example.,Duplicate image retained for source traceability.,Duplicate of page 15 S.S. Kresge example.,high,duplicate
canslim-008,Chart Setups/Screenshot 2026-06-27 at 4.00.06 PM.png,Screenshot 2026-06-27 at 4.00.06 PM.png,7f9d077dd60503a4a9ece61a7f843ca33261e0c9c07879d1c2e72aefc1207bf5,3644,2370,16,,long base breakout,Utah Securities,weekly,Long 54-week base leading to a breakout and sustained advance.,Buy week showed a large volume increase.,Relative strength line rose strongly after the breakout.,Buy marked as the stock clears the long base; chart notes that a normal pullback may revisit the buy area without necessarily failing.,The example later marks a climax top after the advance becomes steep.,"A proper base breakout may briefly pull back toward the pivot, so execution should distinguish normal retests from true failure.",Book chart notes a 538% advance in 63 weeks.,high,labeled_seed
canslim-009,Chart Setups/Screenshot 2026-06-27 at 4.00.10 PM.png,Screenshot 2026-06-27 at 4.00.10 PM.png,c9acf71dcc3eafb14f4b2f566ac157868c453975aa0427a961acdcf19af2c717,3644,2370,16,canslim-008,duplicate,Utah Securities,weekly,Duplicate capture of canslim-008.,Duplicate capture of canslim-008.,Duplicate capture of canslim-008.,Duplicate capture of canslim-008.,Do not count as a separate model example.,Duplicate image retained for source traceability.,Duplicate of page 16 Utah Securities example.,high,duplicate
canslim-010,Chart Setups/Screenshot 2026-06-27 at 4.00.16 PM.png,Screenshot 2026-06-27 at 4.00.16 PM.png,fdf93c9ffd890333142e80edc564e290d06c3de8afb89d27709afba6b283e49e,3644,2370,17,,cup with handle; double bottom with handle; flat base,Du Pont de Nemours,weekly,"Sequence of constructive bases, including a 9-week cup-with-handle, a 35-week double-bottom-with-handle, a 20-week cup-with-handle, and a later flat base.",Volume picked up around several buy areas.,Relative strength advanced with price through the base sequence.,Multiple buy points are marked as the stock emerges from each constructive base and later flat base.,The chart marks a climax top after an excessive split-adjusted advance.,A true market leader can build repeated proper bases during a long advance; each new entry still needs a defined pivot and sell plan.,Book chart notes a 1074% advance in 225 weeks.,high,labeled_seed
