question_id,section,prompt,response_type,display_order,is_active,created_at,updated_at
monthly_pct_grade_a,A. Process Consistency,Percentage of trades that were A,number,1,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_pct_grade_b,A. Process Consistency,Percentage of trades that were B,number,2,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_pct_grade_c,A. Process Consistency,Percentage of trades that were C,number,3,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_rule_violations,A. Process Consistency,Number of rule violations,number,4,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_pct_weeks_passed,A. Process Consistency,Percentage of weeks passing weekly rules,number,5,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_max_drawdown_pct,B. Risk and Drawdown,Monthly max drawdown (percentage),number,6,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_largest_losing_streak,B. Risk and Drawdown,Largest losing streak,number,7,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_risk_reduce_after_dd,B. Risk and Drawdown,Did risk reduce after drawdown as per rules?,yesno,8,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_avg_r_per_trade,C. Execution Statistics (Tradezella),Average R per trade,number,9,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_expectancy,C. Execution Statistics (Tradezella),Expectancy,number,10,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_pct_reached_2r,C. Execution Statistics (Tradezella),Percentage of trades reaching at least 2R,number,11,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_confidence_execution,D. Psychological Stability (Rate 1-5),Confidence in execution,rating_1_5,12,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_emotional_neutrality,D. Psychological Stability (Rate 1-5),Emotional neutrality,rating_1_5,13,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_patience_selectivity,D. Psychological Stability (Rate 1-5),Patience and selectivity,rating_1_5,14,True,2026-02-27T02:26:30,2026-02-27T02:26:30
monthly_trust_process,D. Psychological Stability (Rate 1-5),Trust in process,rating_1_5,15,True,2026-02-27T02:26:30,2026-02-27T02:26:30
